ID,Resort,Latitude,Longitude,Country,Continent,Season,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,November - May,22921,Yes,Yes,Yes,No
2,Geilosiden Geilo,60.5345261,8.2063719,Norway,Europe,November - April,14225,Yes,Yes,Yes,No
3,Golm,47.05781,9.8281668,Austria,Europe,December - April,16240,Yes,No,No,No
4,Red Mountain Resort-Rossland,49.1055201,-117.8462801,Canada,North America,December - April,9200,Yes,Yes,Yes,No
5,Hafjell,61.2303686,10.52901357,Norway,Europe,November - April,21060,Yes,Yes,Yes,No
6,Voss,60.6837065,6.407904807,Norway,Europe,November - May,11900,Yes,Yes,No,No
7,Porter,-39.67098835,176.8766681,New Zealand,Oceania,June - September,5600,No,No,No,Yes
8,Nevados de Chilla?n,-36.613844,-72.0718055,Chile,South America,June - October,11080,Yes,Yes,No,Yes
9,Hochschwarzeck,47.6283728,12.9205276,Germany,Europe,December - April,2880,Yes,No,No,No
10,Rossfeld - Berchtesgaden - Oberau,47.6513062,13.0589774,Germany,Europe,December - April,3229,Yes,Yes,Yes,No
11,Fernie,49.5041747,-115.062867,Canada,North America,December - April,14514,Yes,Yes,No,No
12,Sun Peaks,50.8844684,-119.8823295,Canada,North America,November - April,13895,Yes,Yes,Yes,No
13,Panorama,50.7369988,-119.1205606,Canada,North America,December - April,11890,Yes,Yes,Yes,No
14,Brauneck Lenggries ?Wegscheid,47.674786,11.554735,Germany,Europe,December - April,19100,Yes,No,Yes,No
15,Zermatt - Matterhorn,45.96300885,7.715412186,Switzerland,Europe,Year-round,93464,Yes,Yes,No,Yes
16,Treble Cone,-44.6323751,168.8728247,New Zealand,Oceania,June - October,4520,No,Yes,No,Yes
17,Val Gardena,46.5766427,11.6444217,Italy,Europe,December - April,121914,Yes,Yes,No,No
18,Gressoney - La-Trinite (Monterosa Ski),45.8597574,7.752615678,Italy,Europe,December - April,31984,Yes,Yes,No,No
19,Les Gets (Les Portes du Soleil),46.1550977,6.6633312,France,Europe,December - April,252280,Yes,Yes,Yes,No
20,Espace San Bernardo – La Rosière/?La Thuile,45.62647605,6.852962415,France,Europe,December - April,53669,Yes,Yes,No,No
21,The Lecht,57.200996,-3.247204,United Kingdom,Europe,December - April,9750,No,Yes,Yes,No
22,Steamboat,35.7540215,-109.8537507,United States,North America,November - April,32720,Yes,Yes,Yes,No
23,Howelsen Hill-Steamboat Springs,40.4805325,-106.8406049,United States,North America,November - April,2220,No,No,No,No
24,Les Contamines-?Hauteluce,45.7970821,6.689198693,France,Europe,December - April,33972,Yes,No,Yes,No
25,Crested Butte,38.8698201,-106.984043,United States,North America,November - April,19717,Yes,Yes,No,No
26,Jackson Hole,34.641109,-98.67619161,United States,North America,December - April,20480,Yes,Yes,No,No
27,Park City,40.6460921,-111.4979963,United States,North America,November - April,76110,Yes,Yes,Yes,No
28,Nevis Range,56.8522081,-4.9987681,United Kingdom,Europe,December - April,10350,Yes,No,No,No
29,Arapahoe Basin,40.1211211,-80.6698426,United States,North America,October - June,7200,Yes,Yes,No,No
30,The Remarkables,-45.0549597,168.8158586,New Zealand,Oceania,June - October,8400,Yes,Yes,No,Yes
31,Valchiavenna – Madesimo/?Campodolcino,46.4254637,9.389833451,Italy,Europe,November - April,26060,Yes,Yes,Yes,No
32,La Thuile / La Rosière - Espace San Bernardo,45.7162875,6.9486119,Italy,Europe,December - April,53669,Yes,Yes,No,No
33,Livigno – Carosello/?Mottolino,46.5200926,10.1289555,Italy,Europe,November - May,50850,Yes,Yes,Yes,No
34,Madonna di Campiglio-?Pinzolo-?Folga?rida-?Marilleva,46.2269942,10.8270157,Italy,Europe,November - April,102340,Yes,Yes,Yes,No
35,Wagrain (Ski amedé),47.3336293,13.3031532,Austria,Europe,November - April,75398,Yes,Yes,No,No
36,Kaunertal Glacier (Kaunertaler Gletscher),46.8774734,10.7136205,Austria,Europe,September - June,13200,Yes,No,No,No
37,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),47.392906,12.636085,Austria,Europe,November - April,135104,Yes,Yes,Yes,No
38,Sestriere ski resort (Via Lattea),44.954538,6.880658,Italy,Europe,November - April,96433,Yes,No,Yes,No
39,Reither Kogel-Reith im Alpbachtal,47.4005419,11.8601176,Austria,Europe,December - March,4070,Yes,No,Yes,No
40,Kicking Horse - Golden,51.2937094,-116.9624651,Canada,North America,December - April,5250,Yes,No,No,No
41,Grandvalira – Pas de la Casa/?Grau Roig/?Soldeu/?El Tarter/?Canillo/?Encamp,42.54115005,1.733382094,Andorra,Europe,November - April,99017,Yes,Yes,Yes,No
42,Rinerhorn (Davos Klosters),46.74122595,9.798008893,Switzerland,Europe,December - March,6900,Yes,Yes,No,No
43,Madrisa (Davos Klosters),46.9097225,9.877450678,Switzerland,Europe,December - March,6640,Yes,Yes,No,No
44,Jakobshorn (Davos Klosters),46.772399,9.8493406,Switzerland,Europe,December - April,15800,Yes,Yes,No,No
45,Les Diablerets,46.3511021,7.1566435,Switzerland,Europe,October - May,10260,Yes,Yes,No,No
46,Big White,49.715991,-118.933872,Canada,North America,November - April,22625,Yes,Yes,Yes,No
47,Obergurgl-Hochgurgl,46.879426,11.0387065,Austria,Europe,November - May,38861,Yes,Yes,Yes,No
48,Coronet Peak,-44.9158907,168.7395712,New Zealand,Oceania,June - October,7200,Yes,Yes,Yes,Yes
49,Les Deux alpes,45.0099949,6.1237609,France,Europe,June - April,72334,Yes,Yes,Yes,Yes
50,Valle Nevado,-33.352964,-70.2486776,Chile,South America,June - October,15930,Yes,Yes,No,Yes
51,Ben Lomond,-30.0237148,151.6591787,Australia,Oceania,July - September,0,Yes,No,No,Yes
52,Portillo,-32.8364183,-70.1290835,Chile,South America,June - October,9900,Yes,No,No,Yes
53,Catedral Alta Patagonia,-41.16556,-71.444171,Argentina,South America,June - October,35130,Yes,Yes,No,Yes
54,Whistler,50.1171903,-122.9543022,Canada,North America,November - May - June - August,59203,Yes,Yes,No,Yes
55,Stubai Glacier,46.995462,11.14049,Austria,Europe,September - June,39784,Yes,Yes,No,No
56,Fonna Glacier,60.2168823,6.435787158,Norway,Europe,May - September,1200,Yes,Yes,No,Yes
57,Tignes - ?Val d'Ise?re,45.4580331,6.918835739,France,Europe,November - May - June - August,145461,Yes,Yes,No,Yes
58,La Plagne (Paradiski),45.50429855,6.704912253,France,Europe,December - April,136733,Yes,Yes,No,No
59,Les Orres,44.5140024,6.5510313,France,Europe,December - April,21020,Yes,Yes,No,No
60,Espace Diamant-Les Saisies/?Notre-Dame-de-Bellecombe/?Praz sur Arly/?Flumet/?Crest-Voland,45.78908,6.554098,France,Europe,December - April,90852,Yes,Yes,Yes,No
61,Avoriaz (Les Portes du Soleil),46.1925439,6.7702857,France,Europe,December - April,252280,Yes,Yes,Yes,No
62,Cha?tel (Les Portes du Soleil),46.255039,6.843619,France,Europe,December - April,252280,Yes,Yes,Yes,No
63,Le Lys - Cauterets,42.8823131,-0.1553793,France,Europe,November - April,13038,Yes,Yes,No,No
64,Pont d'Espagne - Cauterets,42.8510114,-0.1399209,France,Europe,November - April,4150,Yes,No,No,No
65,La Grave - La Meije,45.0454525,6.3067223,France,Europe,December - April,1460,Yes,No,No,No
66,Courchevel ,45.4140984,6.6349892,France,Europe,November - May,250860,Yes,Yes,Yes,No
67,Saint Martin de Belleville,45.3503871,6.500076137,France,Europe,November - May,250860,Yes,Yes,Yes,No
68,Alpe d'Huez,45.092401,6.0699443,France,Europe,December - April,92097,Yes,Yes,Yes,No
69,La Tania-Val Thorens/?Les Menuires/?Me?ribel,45.432169,6.5963993,France,Europe,November - May,250860,Yes,Yes,Yes,No
70,Sainte-Foy-Tarentaise,45.590355,6.8849094,France,Europe,December - April,7100,Yes,No,No,No
71,Les Arcs /? Peisey-Vallandry (Paradiski),43.4629097,6.4786269,France,Europe,December - April,82641,Yes,Yes,Yes,No
72,Montgene?vre (Via Lattea),44.929277,6.729726,France,Europe,November - April,96433,Yes,No,Yes,No
73,Bonneval sur Arc,45.3716864,7.0467945,France,Europe,December - April,8213,Yes,No,No,No
74,Val Thorens,45.2979109,6.5822693,France,Europe,November - May,250860,Yes,Yes,Yes,No
75,Serre Chevalier-Brianc?on/?Chantemerle/?Villeneuve-la-Salle/?Le Mone?tier-les-Bains,44.9107381,6.5500282,France,Europe,December - April,72066,Yes,Yes,Yes,No
76,Kleine Scheidegg / ?Ma?nnlichen-Grindelwald / ?Wengen,46.5850987,7.9608968,Switzerland,Europe,November - April,29250,Yes,No,No,No
77,Balme-?Les Autannes-Vallorcine-?Le Tour,46.2856827,4.7804099,France,Europe,December - April,14860,Yes,Yes,No,No
78,Grands Montets-Argentie?re (Chamonix),45.9777193,6.9238925,France,Europe,December - May,15756,Yes,Yes,No,No
79,Winter Park Resort,39.87161425,-105.7827088,United States,North America,November - April,41130,Yes,Yes,No,No
80,Arcali?s-Ordino (Vallnord),42.6271621,1.491260579,Andorra,Europe,November - April,14240,Yes,Yes,No,No
81,Ruka,66.1702656,29.1311291,Finland,Europe,October - June,22915,Yes,Yes,Yes,No
82,Levi,67.7844055,24.8557289,Finland,Europe,November - May,30110,Yes,Yes,Yes,No
83,Niseko,42.804684,140.6873034,Japan,Asia,November - May,42400,Yes,Yes,Yes,No
84,Kranjska Gora,46.485132,13.7843957,Slovenia,Europe,December - April,17774,Yes,Yes,Yes,No
85,El Tarter – Pas de la Casa/?Grau Roig/?Soldeu/?Canillo/?Encamp (Grandvalira),42.5803334,1.6496963,Andorra,Europe,November - April,99017,Yes,Yes,Yes,No
86,Bansko,41.8344086,23.4841698,Bulgaria,Europe,December - April,24233,Yes,Yes,Yes,No
87,Alta,42.6736893,-95.3039943,United States,North America,November - April,13100,Yes,No,Yes,No
88,Aspen Mountain,39.1760986,-106.8292058,United States,North America,November - April,13400,Yes,No,No,No
89,Aspen Highlands,61.103269,-149.7406566,United States,North America,December - April,7085,Yes,No,No,No
90,Squaw Valley,36.7402261,-119.246785,United States,North America,November - April,42932,Yes,Yes,Yes,No
91,Vail,39.6440207,-106.3801669,United States,North America,November - April,54858,Yes,Yes,No,No
92,Kitzsteinhorn - Kaprun,47.1880444,12.6874982,Austria,Europe,July,33598,Yes,Yes,No,Yes
93,Snowbasin,41.216317,-111.857428,United States,North America,November - April,17026,Yes,Yes,No,No
94,Beaver Creek,39.6048786,-106.5150017,United States,North America,November - April,38200,Yes,Yes,No,No
95,Glencoe Mountain,56.68154175,-5.10644312,United Kingdom,Europe,December - April,5800,Yes,No,No,No
96,Sölden,46.9673961,11.0070193,Austria,Europe,September - May,70370,Yes,Yes,Yes,No
97,Kuühtai,47.212049,11.017326,Austria,Europe,November - April,17254,Yes,Yes,Yes,No
98,Breckenridge,32.7558392,-98.9032554,United States,North America,November - April,43880,Yes,Yes,No,No
99,Obertauern,47.2494362,13.5569603,Austria,Europe,November - May,50797,Yes,Yes,Yes,No
100,Elfer Neustift,47.1064691,11.3079828,Austria,Europe,December - March,2980,Yes,No,No,No
101,Serfaus-Fiss-Ladis,47.0530324,10.61913705,Austria,Europe,December - April,78460,Yes,Yes,Yes,No
102,Hochko?nig-Maria Alm/?Dienten/?Mu?hlbach,47.38650655,12.95641323,Austria,Europe,December - April,49232,Yes,Yes,Yes,No
103,Mayrhofen-Penken/?Ahorn/?Rastkogel/?Eggalm,47.1672188,11.8638664,Austria,Europe,December - April,82432,Yes,Yes,No,No
104,St - Anton (Ski Arlberg),47.18265425,10.14043361,Austria,Europe,December - April,145127,Yes,Yes,No,No
105,Axamer Lizum,47.1943801,11.3030187,Austria,Europe,November - April,13322,Yes,Yes,No,No
106,Flachau (Ski amedé),47.3438501,13.3922888,Austria,Europe,November - April,75398,Yes,Yes,No,No
107,Ski Juwel Alpbachtal Wildscho?nau,47.395203,11.92651,Austria,Europe,December - April,52789,Yes,Yes,Yes,No
108,Ischgl,46.9862824,10.27451769,Austria,Europe,November - May,88215,Yes,Yes,No,No
109,Bad Gastein,47.1144954,13.1352653,Austria,Europe,November - April,32699,Yes,Yes,No,No
110,Gargellen,46.9721035,9.9187223,Austria,Europe,December - April,10650,Yes,Yes,No,No
111,Lech (Ski Arlberg),47.18265425,10.14043361,Austria,Europe,December - April,145127,Yes,Yes,No,No
112,Kitzbühel / Kirchberg (KitzSki),47.4463585,12.3911473,Austria,Europe,October - April,92510,Yes,Yes,Yes,No
113,Galtu?r,46.9194554,10.17059035,Austria,Europe,December - April,15442,Yes,Yes,Yes,No
114,Fieberbrunn - Saalbach Hinterglemm Leogang (Skicircus),47.45518755,12.54442426,Austria,Europe,November - April,135104,Yes,Yes,Yes,No
115,Schladming,47.3940415,13.6867878,Austria,Europe,April,71842,Yes,Yes,Yes,No
116,Ellmau (SkiWelt Wilder Kaiser-Brixental),47.51927245,12.29224775,Austria,Europe,December - April,147250,Yes,Yes,Yes,No
117,Zauchensee,47.2933062,13.4568962,Austria,Europe,April,25988,Yes,Yes,No,No
118,Westendorf (SkiWelt Wilder Kaiser-Brixental),47.3831879,12.22174856,Austria,Europe,December - April,147250,Yes,Yes,Yes,No
